SRCHWRD_NM,SRCHWRD_MENTN_CO,ORIGIN_CL_NM,REPRSNT_KWRD_NM,REPRSNT_KWRD_MENTN_CO,ALL_KWRD_CN,ALL_KWRD_CO,NTCE_YM
산방산,30,페이스북,제주맛집,23,제주맛집/제주도맛집/제주공항근처맛집/제주시맛집/애월맛집/중문맛집/제주공항맛집/서귀포맛집/산방산맛집/신제주맛집/산방산탄산온천/별방진/엉덩물계곡/성산일출봉/졸띠유채밭/힙플레이스/제주여행/제주온천/제주가볼만한곳/산방산온천/산방산유채밭/짱구네유채꽃밭/국내여행/여행추천/제주데이트/제주이색데이트/국내온천/노천탕/야외온천/서귀포가볼만한곳/엉알해안/번네식당/1100고지/루나폴/구제주포차/사라오름/소은/아카우마/산방산유채꽃/성읍민속마을/녹산로유채꽃도로/함덕서우봉/우도검멀레해수욕장/광치기해변/뭐하지안덕/제주/제주도/제주속으로/유채꽃,49,202306
카멜리아힐,1,페이스북,허브동산,1,허브동산/숨도/동백포레스트/동박낭/동백수목원/에코랜드/호근동동백꽃/렌시아/정신문화연구원,9,202306
성산일출봉,6,페이스북,제주여행,3,제주여행/별방진/엉덩물계곡/졸띠유채밭/성산일출봉맛집/성산아침식사/산방산유채밭/짱구네유채꽃밭/힙플레이스/국내여행/여행추천/돌카롱/돌카롱성산일출봉점/제주성산일출봉/섭지코지/제주섭지코지/제주도여행/제주마카롱/성산일출봉카페/서귀포고기국수/성산핫플/고기국수맛집/우도여행/산방산유채꽃/성읍민속마을/녹산로유채꽃도로/함덕서우봉/우도검멀레해수욕장/광치기해변/정방폭포/보롬왓/탱귤탱꿀/고살리숲길/오라cc겹벚꽃/금악오름/송당무끈모루/신창풍차해안도로/도구리알,38,202306
스누피가든,0,페이스북,,0,,0,202306
빛의벙커,1,페이스북,제주신화월드,1,제주신화월드/아르떼뮤지엄제주/제주현대미술관/포도/수풍석뮤지엄,5,202306
금오름,2,페이스북,금악오름,2,금악오름/눈이/힙플레이스/제주여행/여행추천/제주여행추천/제주핫플/국내여행/제주설산/제주금악오름/정방폭포/보롬왓/탱귤탱꿀/고살리숲길/오라cc겹벚꽃/송당무끈모루/성산일출봉/신창풍차해안도로/도구리알,19,202306
용머리해안,0,페이스북,,0,,0,202306
비자림,0,페이스북,,0,,0,202306
천지연폭포,2,페이스북,표선해수욕장,2,표선해수욕장/드림타워/드르쿰다성산/성이시돌목장/문보트/루나폴/수목원길야시장/어린왕자감귤밭/사라봉,9,202306
천제연폭포,0,페이스북,,0,,0,202306
새별오름,2,페이스북,새별프렌즈,1,새별프렌즈/힙플레이스/국내여행/여행추천/제주여행/제주여행추천/제주핫플/제주동물원/제주가볼만한곳/성이시돌목장/큰엉해안경승지/휴일로/소노캄제주/구엄리돌염전/도두봉/드르쿰다in성산/수월봉지질트레일/어린왕자감귤밭,18,202306
제주실탄사격장,0,페이스북,,0,,0,202306
테디베어뮤지엄제주,0,페이스북,,0,,0,202306
여미지식물원,1,페이스북,제주,1,제주/제주도/제주속으로,3,202306
메이즈랜드,1,페이스북,에코랜드,1,에코랜드/소인국테마파크/루나폴/노을리/오드씽/힙플레이스/국내여행/여행추천/제주여행,9,202306
제주관광,2,페이스북,힙플레이스,2,힙플레이스/국내여행/여행추천/제주여행/제주여행추천/제주관광지추천/국내여행추천/제주핫플/강아지랑제주여행/여행스타그램/제주신상관광지/제주핫플레이스/제주관광지/제주돌고래투어,14,202306
제주카페,19,페이스북,제주카페추천,16,제주카페추천/제주여행/힙플레이스/국내여행/여행추천/제주여행추천/제주핫플/제주가볼만한곳/제주도카페추천/제주디저트/제주맛집/제주도맛집/제주핫플레이스/카페추천/제주신상카페/제주디저트카페/제주데이트/제주공항근처맛집/제주시맛집/제주대형카페/돌카롱/돌카롱월정리해변점/월정리해변/제주월정리해변/제주마카롱/월정리해변카페/제주이색카페/제주도카페/제주데이트코스/국내여행추천/엉클프레즐하우스/제주빵지순례/광고/제주놀거리/제주여행코스/세화카페텐더럽/구좌카페/애월맛집/중문맛집/미쿠니/카페코랫/카페사분의일/오드씽/제주카페투어/제주예쁜카페/환승연애2/제주맛집추천/제주숙소추천/제주도카페투어/제주공항카페/제주공항근처카페/테라로사/제주테라로사/공백/카페공백/국내여행지/용소담/줄라이앤어거스트/제주도빵집/제주빵집/제주도베이커리/제주케이크/제주길/서귀포카페/서귀포카페추천/제주디저트맛집,66,202306
