SRCHWRD_NM,SRCHWRD_MENTN_CO,ORIGIN_CL_NM,REPRSNT_KWRD_NM,REPRSNT_KWRD_MENTN_CO,ALL_KWRD_CN,ALL_KWRD_CO,NTCE_YM
산방산,24,페이스북,제주맛집,23,제주맛집/제주도맛집/제주공항근처맛집/제주시맛집/애월맛집/중문맛집/제주공항맛집/서귀포맛집/산방산맛집/신제주맛집/도시해녀/속골/귀덕바다투명카약/마라도가는여객선/박물관은살아있다/비체올린/산방산탄산온천/상효원/제주액트몬/조안베어뮤지엄/헬로키티아일랜드/제주로떠나는이유/친봉산장/제주소품,24,202206
카멜리아힐,5,페이스북,수국축제,2,수국축제/제주/제주로떠나는이유/제주여행지/혼저옵서/제주관광/댓글이벤트/댓글로응모/수국수국/제주관광공사면세점/제주관광공사인터넷면세점/제주면세점/유리의성/사진놀이터/새별프렌즈/피규어뮤지엄/카페고와리/프랑스문화원/크리스마스박물관/카파이풋/신창풍차해안도로/hydrangea/camelliahill/jeju/나의/제주여행을/반갑게/반값/메이즈랜드/비체올린/선녀와나무꾼/에코랜드/일출랜드/한림공원/허브동산/제주여행/제주관광지/제주수국명소/제주핫플/제주사진명소,40,202206
성산일출봉,2,페이스북,눈내리는섬,1,눈내리는섬/제주도카페/제주성산카페/성산일출봉카페/서귀포/서귀포맛집/서귀포가볼만한곳/서귀포핫플/서귀포여행/서귀포시/제주/제주도/제주속으로,13,202206
스누피가든,2,페이스북,김녕미로공원,2,김녕미로공원/제주여행/제주일상/제주여행중/제주도여행/jejutrip/jejutravel/제주동쪽/고양이공원,9,202206
빛의벙커,0,페이스북,,0,,0,202206
금오름,0,페이스북,,0,,0,202206
용머리해안,0,페이스북,,0,,0,202206
비자림,1,페이스북,사진놀이터,1,사진놀이터/아쿠아플라넷제주/다이나믹메이즈/박물관은살아있다/엉또폭포/여유로이/제주로떠나는이유/비오는날제주/제주여행,9,202206
천지연폭포,0,페이스북,,0,,0,202206
천제연폭포,1,페이스북,제주포토존,1,제주포토존/서귀포핫플/제주핫플/스위스마을/소천지/소노캄제주/제주커플/비밀의숲/사려니숲길,9,202206
새별오름,0,페이스북,,0,,0,202206
제주실탄사격장,1,페이스북,그랑블루요트,1,그랑블루요트/낙타트래킹/다이나믹메이즈/세리월드/쇠소깍해양레저타운/얼라이브카트/에코랜드/제주제트/제주로떠나는이유,9,202206
테디베어뮤지엄제주,0,페이스북,,0,,0,202206
여미지식물원,0,페이스북,,0,,0,202206
메이즈랜드,3,페이스북,일출랜드,2,일출랜드/고흐의정원/낙타트래킹/레일바이크/레포츠랜드/망고레이섭지코지점/망고홀릭종달점/뷰제주하늘/서프라이즈테마파크/선녀와나무꾼테마공원/우정여행/마라도가는여객선/그랑블루요트/세계자동차박물관/건강과성박물관/유리의성/제주여행지모음/제주사진명소/제주/비체올린/선녀와나무꾼/에코랜드/카멜리아힐/한림공원/허브동산/제주로떠나는이유,26,202206
제주관광,7,페이스북,제주여행,5,제주여행/제주면세점/제주관광공사/제주여행지/나의/제주여행을/반갑게/반값게/나답게/카멜리아힐/제주로떠나는이유/제주관광지/여행은/JEJU/JEJUDUTYFREE/면세점/혼저옵서/댓글이벤트/댓글로응모/수국수국/수국축제/제주관광공사면세점/제주관광공사인터넷면세점/수목원테마파크/제주놀거리/제주가볼만한곳/제주관광지추천/답다니수국밭/고흐의정원/박물관은살아있다/사진놀이터/선녀와나무꾼/캐니언파크/제주/제주수국명소/제주핫플/제주사진명소,37,202206
